custom/status_overtake_max,rollout/ep_rew_mean,time/fps,custom/status_collision_mean,rollout/ep_len_mean,time/total_timesteps,custom/status_speed_avg,custom/reward_speed,time/time_elapsed,time/iterations,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/explained_variance,train/std,train/entropy_loss
0,370.90143503,600,0.0,256.92,851968,30.729243883736054,0.5121540647289342,1417,52,0.0060439347,0.0005,-0.00362305938906502,510,54.429144215583804,0.079852294921875,0.2,25.24917221069336,0.8100416660308838,0.8944848775863647,-2.5979593500494955
0,369.84987755,601,0.0,252.12,868352,31.27545842500109,0.5212576404166849,1444,53,0.006631965,0.0005,-0.0029619917026138865,520,51.64344778060913,0.0975830078125,0.2,26.96385955810547,0.8208200335502625,0.8990814685821533,-2.592431467026472
0,368.43329209999996,601,0.0,237.72,884736,32.80205715280416,0.5467009525467359,1470,54,0.01502891,0.0005,-0.0034809186618076637,530,54.81238096952438,0.080303955078125,0.2,33.25296401977539,0.8166700601577759,0.8974149823188782,-2.590371772646904
0,367.97287724999995,601,0.0,247.39,901120,30.620990188182112,0.5103498364697018,1498,55,0.015092142,0.0005,-0.001904198907504906,540,63.18692193031311,0.09918212890625,0.2,32.132320404052734,0.7937564849853516,0.9063482880592346,-2.595881550014019
0,370.84160806999995,601,0.0,248.85,917504,31.293744601552213,0.5215624100258702,1525,56,0.0059035323,0.0005,-0.0026232711257762275,550,50.30085647106171,0.095184326171875,0.2,28.64461326599121,0.8414459228515625,0.9068651795387268,-2.602743811160326
0,369.58853932000005,601,0.0,243.03,933888,32.72308882763428,0.5453848137939046,1553,57,0.00479374,0.0005,-0.0027718029596144333,560,54.74280755519867,0.092498779296875,0.2,22.126684188842773,0.8217633962631226,0.8983712196350098,-2.5942173175513745
0,369.1930736500001,601,0.0,239.63,950272,31.78777898440529,0.5297963164067548,1580,58,0.0055534896,0.0005,-0.001668474357575178,570,61.71735526323319,0.078179931640625,0.2,26.474315643310547,0.798943817615509,0.9098429679870605,-2.597918003797531
0,391.48584744,601,0.0,269.18,966656,30.20728782471853,0.5034547970786422,1607,59,0.0049353186,0.0005,-0.0026556799995887557,580,52.70396654605865,0.076422119140625,0.2,24.470165252685547,0.8420234322547913,0.9205538630485535,-2.6158703051507475
0,379.24355783000004,601,0.0,256.45,983040,30.877724746217815,0.5146287457702969,1635,60,0.009228237,0.0005,7.234921940835193e-06,590,48.356265008449554,0.10921630859375,0.2,18.19637680053711,0.8428616523742676,0.9406036138534546,-2.6463468082249166
0,364.38648266,601,0.0,242.73,999424,32.958471042879935,0.5493078507146656,1662,61,0.0055734143,0.0005,-0.0016160701350599993,600,56.279433608055115,0.09716796875,0.2,26.469940185546875,0.8398979902267456,0.9404840469360352,-2.6602032132446767
0,382.83597884999995,600,0.0,245.49,1015808,33.12190083750078,0.552031680625013,1691,62,0.0079432875,0.0005,-0.0016313756605086382,610,63.33404493331909,0.089373779296875,0.2,26.727630615234375,0.8156344294548035,0.950430154800415,-2.6700128987431526
0,367.9365616099999,600,0.0,228.87,1032192,33.558554842080966,0.5593092473680161,1718,63,0.0069072787,0.0005,-0.0016482411554534337,620,59.51004592180252,0.082916259765625,0.2,26.06256675720215,0.8172418475151062,0.95555180311203,-2.677724613249302
0,357.13788078,600,0.0,225.69,1048576,33.38235254226488,0.5563725423710815,1746,64,0.011138186,0.0005,-0.002639854978770018,630,61.77937655448913,0.08040771484375,0.2,24.11894416809082,0.8139776587486267,0.966265082359314,-2.6935876317322256
0,383.06717937999997,600,0.0,253.73,1064960,31.25982360861954,0.520997060143659,1774,65,0.013311248,0.0005,-0.0008719451760043739,640,74.33667006492615,0.100201416015625,0.2,25.457429885864258,0.7782493829727173,0.9726041555404663,-2.702031699568033
0,404.09474059,599,0.0,274.45,1081344,30.446075208286988,0.5074345868047831,1802,66,0.0054511316,0.0005,-0.003000119579337479,650,57.13427282571793,0.076153564453125,0.2,25.407394409179688,0.8335801362991333,0.9788720607757568,-2.715942417085171
0,417.40487963,599,0.0,290.48,1097728,30.556348212381685,0.5092724702063615,1830,67,0.01216156,0.0005,-0.0007486750171665335,660,60.669706881046295,0.121783447265625,0.2,25.606340408325195,0.791942298412323,0.9874697923660278,-2.7298214837908743
0,396.45029765000004,600,0.0,268.58,1114112,31.54522203292625,0.5257537005487709,1856,68,0.009640239,0.0005,-0.003041284333085059,670,54.92746374607086,0.09195556640625,0.2,29.96890640258789,0.8257867097854614,0.9845061302185059,-2.727371285110712
0,389.56234932,600,0.0,260.54,1130496,31.47721845711279,0.5246203076185465,1883,69,0.0075001945,0.0005,-0.002593642837382504,680,55.97611109018326,0.086590576171875,0.2,26.987289428710938,0.8166703581809998,0.9980608224868774,-2.7403054416179655
0,429.74077736,600,0.0,291.36,1146880,30.993532649179343,0.5165588774863223,1910,70,0.011017138,0.0005,-0.0023270448227776797,690,55.62959053516388,0.1035888671875,0.2,25.11773109436035,0.8225365281105042,1.0036399364471436,-2.7518373645842074
0,396.38577412,600,0.0,255.06,1163264,33.57439360424259,0.5595732267373765,1936,71,0.0062375683,0.0005,-0.0025421973747143055,700,50.77477201223373,0.091485595703125,0.2,23.121061325073242,0.8430087566375732,1.0074069499969482,-2.7582648664712908
0,386.56256766,600,0.0,250.59,1179648,32.78822299506626,0.5464703832511044,1963,72,0.0043807724,0.0005,-0.00277393160504289,710,58.565711760520934,0.070428466796875,0.2,28.894851684570312,0.8326436281204224,1.0217188596725464,-2.7740203708410265
0,365.83947996,600,0.0,227.84,1196032,34.47920418701632,0.5746534031169386,1991,73,0.0050478503,0.0005,-0.001350938144241809,720,66.16315743923187,0.085260009765625,0.2,32.53057861328125,0.7952369451522827,1.0334141254425049,-2.7924294859170913
0,335.72415030999997,600,0.0,207.33,1212416,34.251672258664925,0.5708612043110821,2017,74,0.0050896043,0.0005,-0.0012959657975443405,730,68.01042658090591,0.07171630859375,0.2,32.242061614990234,0.7888194918632507,1.057361125946045,-2.8256846122443675
0,379.42061829000005,600,0.0,251.5,1228800,30.971913837140608,0.5161985639523434,2045,75,0.007351624,0.0005,-0.0012087904229701961,740,65.91054677963257,0.090576171875,0.2,30.064977645874023,0.7930183410644531,1.0619328022003174,-2.8439451716840267
0,403.88986142,600,0.0,275.04,1245184,31.513399459487495,0.5252233243247917,2072,76,0.009041496,0.0005,-0.0016156500914803473,750,53.215112483501436,0.093316650390625,0.2,22.97766876220703,0.8312544822692871,1.0638065338134766,-2.848582424223423
0,418.07972329000006,600,0.0,280.97,1261568,31.445859339161238,0.5240976556526873,2100,77,0.005591219,0.0005,-0.0029903745591582263,760,54.18018926382065,0.084619140625,0.2,24.033742904663086,0.8255877494812012,1.074005126953125,-2.8556527011096478
0,371.35857481000005,600,0.0,234.5,1277952,33.96684264235657,0.5661140440392762,2128,78,0.009245517,0.0005,-0.001897401234964491,770,55.047245669364926,0.0927978515625,0.2,24.774927139282227,0.8252540826797485,1.0742453336715698,-2.859494961053133
0,371.20006088,600,0.0,223.97,1294336,34.45710779057867,0.5742851298429779,2155,79,0.006085883,0.0005,-0.0025385092489159434,780,69.35833159685134,0.06484375,0.2,32.11083984375,0.7973337173461914,1.0846675634384155,-2.8699746511876585
0,389.55236919000004,600,0.0,241.7,1310720,34.195518809085954,0.5699253134847659,2184,80,0.0072920704,0.0005,-0.002901350044339779,790,70.74412497282029,0.098699951171875,0.2,27.78264045715332,0.7800263166427612,1.0879347324371338,-2.873068157583475
0,418.31902779000006,599,0.0,271.44,1327104,31.706663206627177,0.5284443867771196,2212,81,0.010546273,0.0005,-0.0020247067284799415,800,70.32018457651138,0.10997314453125,0.2,37.65707778930664,0.7937487363815308,1.0970613956451416,-2.8851529717445374
0,425.37518531999996,599,0.0,277.76,1343488,33.814309233935234,0.5635718205655873,2239,82,0.007978828,0.0005,-0.0002674572460819036,810,52.80182611942291,0.1202880859375,0.2,23.702648162841797,0.843382716178894,1.10945725440979,-2.8972318284213543
