custom/status_overtake_max,rollout/ep_len_mean,custom/reward_speed,custom/status_collision_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,custom/status_speed_avg,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates
0,269.92,0.7754410318325037,0.0,719,4236,186,8060928,46.52646190995023,591.5998699900001,0.2,59.45882797241211,0.6895263195037842,0.0005,-6.592127785086632,44.40769577026367,-0.00180167200815049,0.056683349609375,151.2872135400772,0.00471837,4910
0,259.31,0.7813734476741321,0.0,719,4260,187,8077312,46.88240686044792,562.05212655,0.2,65.79171752929688,0.7110655903816223,0.0005,-6.605849266052246,44.52177429199219,-0.001971486907496001,0.040740966796875,135.17369890213013,0.0046918653,4920
0,244.85,0.7699479707503751,0.0,718,4284,188,8093696,46.1968782450225,531.78348836,0.2,65.84940338134766,0.7003173828125,0.0005,-6.604528330266476,44.45654296875,-0.004322759026763379,0.050360107421875,139.40131669044496,0.0059108203,4930
0,256.5,0.7833300820495752,0.0,718,4307,189,8110080,46.99980492297451,549.84486419,0.2,62.09296798706055,0.6923373937606812,0.0005,-6.610046291351319,44.906227111816406,-0.003155279646307463,0.056793212890625,139.8719968318939,0.00446612,4940
0,179.34,0.7723468264191082,0.0,718,4331,190,8126464,46.340809585146495,390.1801690499999,0.2,63.16238784790039,0.7259752750396729,0.0005,-6.621148405969143,45.592342376708984,-0.001134549453308864,0.066510009765625,123.83824250698089,0.019252336,4950
0,184.57,0.752410148938121,0.0,718,4353,191,8142848,45.144608936287256,389.10503021,0.2,85.65663146972656,0.6219595670700073,0.0005,-6.639693818986416,46.39957046508789,-0.00590370067548065,0.08575439453125,178.7655906677246,0.006663738,4960
0,217.21,0.7384613696312224,0.0,718,4376,192,8159232,44.307682177873346,447.82405091999993,0.2,63.05039978027344,0.6739852428436279,0.0005,-6.651455882191658,47.021400451660156,-0.007467355894914362,0.106524658203125,145.44902138710023,0.007659082,4970
0,248.01,0.748711350032974,0.0,718,4399,193,8175616,44.92268100197843,510.94978946000003,0.2,58.65636444091797,0.7097724080085754,0.0005,-6.6498940423130986,47.24811935424805,-0.004707296457490883,0.08271484375,129.79713003635408,0.0058186073,4980
0,271.25,0.7569183334753453,0.0,718,4422,194,8192000,45.41510000852071,571.61264135,0.2,41.690582275390625,0.7399086952209473,0.0005,-6.640140828490257,46.476356506347656,-0.003925634540428291,0.078411865234375,98.53663731813431,0.008757818,4990
0,268.31,0.745486323850334,0.0,718,4444,195,8208384,44.72917943102004,555.51302701,0.2,40.15004348754883,0.7045283317565918,0.0005,-6.64149856865406,46.75705337524414,-0.001557157535717124,0.08199462890625,124.709064412117,0.00539848,5000
0,258.56,0.7487551686265823,0.0,718,4467,196,8224768,44.92531011759493,543.2393352,0.2,37.18452835083008,0.7453323602676392,0.0005,-6.64943064302206,47.01275634765625,-0.00423574208853097,0.05994873046875,117.07223002910614,0.00616723,5010
0,277.14,0.7448726694638346,0.0,718,4490,197,8241152,44.692360167830074,575.8595636199999,0.2,54.72254943847656,0.751825213432312,0.0005,-6.678233818709851,47.914573669433594,-0.0020440589694771917,0.047894287109375,119.02762739658355,0.0042101727,5020
0,288.99,0.6887044647794647,0.0,718,4514,198,8257536,41.32226788676788,585.1005534999999,0.2,57.01395034790039,0.7733508348464966,0.0005,-6.683109322190285,47.51708221435547,-0.0008425291503954213,0.084686279296875,110.96120829582215,0.0070799286,5030
0,300.49,0.743004335849315,0.0,718,4537,199,8273920,44.5802601509589,600.51698695,0.2,51.81618118286133,0.773926854133606,0.0005,-6.6737553820014,46.42953872680664,-0.004949076533375773,0.05712890625,114.46328518390655,0.007540264,5040
0,289.99,0.7402466699941324,0.0,718,4561,200,8290304,44.41480019964794,608.93909042,0.2,47.3859977722168,0.7826790809631348,0.0005,-6.6675102159380915,46.760597229003906,-0.002093792556115659,0.079425048828125,102.396147108078,0.0067538368,5050
0,298.9,0.7413781113903328,0.0,718,4584,201,8306688,44.48268668341996,622.7490163599999,0.2,42.35372543334961,0.7526079416275024,0.0005,-6.669818365573883,47.01437759399414,-0.0025834502914221956,0.058331298828125,110.01477751731872,0.0034767524,5060
0,287.63,0.7295365325027314,0.0,718,4609,202,8323072,43.77219195016389,597.01691143,0.2,55.073028564453125,0.7356547713279724,0.0005,-6.658768364787102,46.041969299316406,-0.0031203465583530487,0.050115966796875,117.28989479541778,0.0049677663,5070
0,280.81,0.731022188606493,0.0,717,4632,203,8339456,43.86133131638958,574.9278663599999,0.2,56.729915618896484,0.7734935879707336,0.0005,-6.655714327096939,46.45025634765625,-0.004019754267210374,0.07005615234375,119.84041171073913,0.005454502,5080
0,311.63,0.719490328517723,0.0,717,4656,204,8355840,43.169419711063384,635.4411614100001,0.2,44.77992630004883,0.7581920623779297,0.0005,-6.669552105665207,46.9873046875,-0.003418142893497134,0.056915283203125,118.69289722442628,0.0048089037,5090
0,326.13,0.7686002155157375,0.0,717,4680,205,8372224,46.11601293094425,679.93791792,0.2,50.698551177978516,0.8041312098503113,0.0005,-6.674379067122937,47.23015213012695,-0.003288170809901203,0.057733154296875,100.35633039474487,0.0043366207,5100
0,306.48,0.7348960027419502,0.0,717,4703,206,8388608,44.093760164517015,645.6613123699999,0.2,51.88068389892578,0.7658202648162842,0.0005,-6.671835769712925,47.045265197753906,-0.0016909401398152112,0.066796875,106.29966621398925,0.004472594,5110
0,304.66,0.7396578326878196,0.0,717,4727,207,8404992,44.37946996126918,624.8206258,0.2,54.27034378051758,0.773836612701416,0.0005,-6.6610563665628435,47.146522521972656,-0.003106290741561679,0.05775146484375,107.536261677742,0.008164764,5120
0,307.52,0.7832287960355501,0.0,717,4751,208,8421376,46.993727762133005,651.15636443,0.2,50.30189514160156,0.7542972564697266,0.0005,-6.646735394001007,46.74555206298828,-0.002176566480193287,0.072796630859375,111.9927056312561,0.008243066,5130
0,277.49,0.7851160653572803,0.0,717,4775,209,8437760,47.10696392143682,605.18930781,0.2,52.08821487426758,0.7048200368881226,0.0005,-6.639980551600456,46.88274383544922,-0.003940742499253247,0.061322021484375,123.98453996181487,0.0075013423,5140
0,279.64,0.7950582452693213,0.0,716,4799,210,8454144,47.703494716159284,618.3966397400001,0.2,60.1505012512207,0.6955437660217285,0.0005,-6.628983572125435,46.683067321777344,-0.003996822073168005,0.043646240234375,140.1149074792862,0.0031499218,5150
0,306.19,0.7506113044605467,0.0,716,4822,211,8470528,45.0366782676328,655.59166648,0.2,51.819313049316406,0.7581595182418823,0.0005,-6.6476581141352655,48.0887565612793,-0.00367226056769141,0.05863037109375,122.1384360551834,0.0075299,5160
0,298.12,0.7855017230335655,0.0,716,4845,212,8486912,47.13010338201393,639.44600676,0.2,50.315673828125,0.7432938814163208,0.0005,-6.646456956863403,47.95097351074219,-0.003502181332441978,0.06331787109375,106.77924222946167,0.008936803,5170
