custom/status_speed_avg,custom/reward_speed,time/time_elapsed,time/iterations,custom/status_overtake_max,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/status_collision_mean,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/clip_range
29.509991180495554,0.49183318634159257,3493,265,0,621,261.25,2170880,0.0,387.6328182500001,-5.412915021181107,2640,18.151931762695312,0.0005,0.004208521,0.7842477560043335,-0.001820768357720226,52.4818621635437,0.05565185546875,8.58827018737793,0.2
28.802299857198648,0.4800383309533108,3507,266,0,621,284.02,2179072,0.0,407.0334778300001,-5.429637724161148,2650,17.74650001525879,0.0005,0.005555967,0.8308343291282654,-0.00034851170348701996,44.94405374526978,0.05035400390625,8.760649681091309,0.2
31.34425079410994,0.5224041799018323,3520,267,0,621,273.22,2187264,0.0,393.94894410000006,-5.4484712213277815,2660,19.053150177001953,0.0005,0.0065866383,0.8616523742675781,-0.0016635838364891242,43.10138657093048,0.05789794921875,8.84500789642334,0.2
29.171009189467934,0.4861834864911323,3533,268,0,621,290.59,2195456,0.0,408.60724745,-5.460581761598587,2670,31.237876892089844,0.0005,0.003572714,0.7757802605628967,-0.0020391003097756768,60.022394800186156,0.04996337890625,9.008481979370117,0.2
29.56999499368108,0.4928332498946847,3546,269,0,621,262.7,2203648,0.0,380.45382254,-5.473491951823235,2680,16.69771385192871,0.0005,0.0067356154,0.8627720475196838,-0.0010275650194671471,42.31826710700989,0.05235595703125,9.072758674621582,0.2
29.52216780213528,0.492036130035588,3559,270,0,621,274.82,2211840,0.0,392.73829842,-5.492183598875999,2690,25.729503631591797,0.0005,0.006725578,0.7435793280601501,-0.001167429496854311,60.395696544647215,0.07283935546875,9.268839836120605,0.2
30.158299244047075,0.502638320734118,3573,271,0,621,271.11,2220032,0.0,385.95599297,-5.515506246685982,2700,18.985937118530273,0.0005,0.0034541956,0.8201467394828796,-0.002251547657942865,48.65167969465256,0.04134521484375,9.468758583068848,0.2
30.232471196342672,0.5038745199390445,3586,272,0,621,276.42,2228224,0.0,391.0250474099999,-5.527444249391555,2710,35.449012756347656,0.0005,0.0039993874,0.75638747215271,-0.0018251238892844413,67.53678145408631,0.03958740234375,9.478108406066895,0.2
29.123408445015844,0.48539014075026404,3599,273,0,621,266.08,2236416,0.0,381.48319491,-5.545929273962974,2720,21.767845153808594,0.0005,0.0056914967,0.7898489236831665,-0.0016673797472321894,53.558060097694394,0.04310302734375,9.560663223266602,0.2
27.735682602896823,0.46226137671494705,3613,274,0,621,277.08,2244608,0.0,390.93248823,-5.574220749735832,2730,21.374216079711914,0.0005,0.0045537716,0.7987093925476074,-0.0012508586285548517,45.17767554521561,0.044140625,9.779097557067871,0.2
