rollout/ep_len_mean,custom/status_speed_avg,time/total_timesteps,time/iterations,custom/status_overtake_max,time/time_elapsed,custom/status_collision_mean,rollout/ep_rew_mean,time/fps,custom/reward_speed,train/clip_range,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/loss
247.22,13.780818183221358,229376,14,0,562,0.0,184.29187317000003,408,0.2296803030536893,0.2,0.8988474011421204,0.0106358435,130,0.149383544921875,-2.627090944349766,-0.009240334967034868,0.0005,19.82582229971886,0.8515752553939819,9.564789772033691
340.05,12.62439367051984,245760,15,0,586,0.0,239.82131856,418,0.2104065611753307,0.2,0.8817161917686462,0.017907107,140,0.15050048828125,-2.5993140265345573,-0.011404060592030873,0.0005,14.616946771740913,0.8637822866439819,7.57138729095459
436.74,16.249950623506535,262144,16,0,612,0.0,306.10186353,427,0.2708325103917756,0.2,0.8568030595779419,0.009977821,150,0.14627685546875,-2.5480157591402532,-0.008514307523728348,0.0005,12.378648602962494,0.7775868773460388,4.97301721572876
429.31,22.48123996697964,278528,17,0,639,0.0,358.45528918,435,0.37468733278299404,0.2,0.8364294767379761,0.007823804,160,0.102496337890625,-2.498468190431595,-0.009138490619079676,0.0005,21.625131270289423,0.7344033122062683,11.531487464904785
254.09,24.263312687667437,294912,18,0,666,0.0,291.11682362,442,0.4043885447944573,0.2,0.8252283334732056,0.006015449,170,0.06859130859375,-2.464522582292557,-0.004987400480604265,0.0005,29.563698041439057,0.7402893304824829,11.116695404052734
233.89,24.927811741888306,311296,19,0,691,0.0,283.87599577000003,450,0.41546352903147177,0.2,0.8235583305358887,0.0077595124,180,0.05467529296875,-2.450747265666723,-0.001524548087036237,0.0005,35.42434377074242,0.7519804239273071,17.707857131958008
250.76,25.549114900523353,327680,20,0,721,0.0,300.34220838,454,0.4258185816753892,0.2,0.8224708437919617,0.0036711954,190,0.0678955078125,-2.4463441908359527,-0.001672404701821506,0.0005,36.718505358695985,0.7787537574768066,18.687828063964844
209.45,27.820498863750664,344064,21,0,757,0.0,271.55823182,454,0.4636749810625111,0.2,0.822029709815979,0.0061032837,200,0.06036376953125,-2.4460615053772927,-0.0033170712482387898,0.0005,35.446215736865994,0.8151804208755493,16.33693504333496
188.78,29.806619729248425,360448,22,0,795,0.0,259.98771619,453,0.4967769954874737,0.2,0.8277303576469421,0.0049769953,210,0.051104736328125,-2.4520174019038676,-0.001998097103933105,0.0005,43.28773455023766,0.7824645638465881,19.2740535736084
218.82,26.34141687876404,376832,23,0,829,0.0,291.05352208,454,0.4390236146460673,0.2,0.8371384143829346,0.0075298892,220,0.06519775390625,-2.470625880360603,-0.003047197454361594,0.0005,52.2847422003746,0.7928345799446106,20.470077514648438
229.36,28.91386121710761,393216,24,0,865,0.0,303.73135161000005,454,0.48189768695179347,0.2,0.842505931854248,0.0075837416,230,0.1063720703125,-2.489484390616417,-0.0009365165415147203,0.0005,36.2320703625679,0.8266677856445312,18.88422393798828
192.95,29.87848868709184,409600,25,0,902,0.0,270.29695984000006,453,0.4979748114515307,0.2,0.847297191619873,0.0071263313,240,0.07379150390625,-2.4983203634619713,-0.001045379022252746,0.0005,41.9268561899662,0.8133615255355835,21.383987426757812
