rollout/ep_len_mean,time/total_timesteps,custom/reward_speed,custom/status_collision_mean,custom/status_speed_avg,time/time_elapsed,time/fps,custom/status_overtake_max,time/iterations,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
270.95,7880704,0.6220339801999548,0.0,37.32203881199729,4811,595,0,175,468.13727353,0.2,75.44329715967179,0.0005,0.799706220626831,4800,-6.918525095283985,0.0046911077,52.929351806640625,-0.000904658264335012,28.260168075561523,0.077239990234375
244.14,7897088,0.6630830253128583,0.0,39.7849815187715,4840,595,0,176,449.66747037999994,0.2,74.13989647626877,0.0005,0.7792760133743286,4810,-6.91125848442316,0.0067794765,52.78608703613281,-0.003387608144475962,27.625497817993164,0.068389892578125
232.06,7913472,0.652300181554042,0.0,39.13801089324252,4868,595,0,177,430.57252945,0.2,92.20650918483734,0.0005,0.7691851258277893,4820,-6.920969742536545,0.0062011853,52.96122741699219,-0.002269907160734874,45.233436584472656,0.064068603515625
262.35,7929856,0.6275309200464958,0.0,37.65185520278975,4897,595,0,178,474.9950563,0.2,88.82086794376373,0.0005,0.7748974561691284,4830,-6.9416608735919,0.010864673,53.7495231628418,-0.0003434540642047068,35.48158645629883,0.076898193359375
289.1,7946240,0.6176502125732823,0.0,37.05901275439694,4925,595,0,179,507.26317487,0.2,71.38782442808152,0.0005,0.8205605149269104,4840,-6.9428779318928715,0.0050718053,53.93766784667969,-0.00326799722861324,26.208248138427734,0.0496337890625
258.74,7962624,0.6105736377307178,0.0,36.634418263843074,4955,595,0,180,447.43810803,0.2,81.05532898902894,0.0005,0.8100429773330688,4850,-6.93156274408102,0.005576137,53.75547790527344,-0.0040178586201363945,39.34700393676758,0.066033935546875
229.96,7979008,0.6747892712370558,0.0,40.487356274223345,4984,594,0,181,418.13925946999996,0.2,80.81939145326615,0.0005,0.8067227005958557,4860,-6.911703355610371,0.012111438,53.62677764892578,-0.0029581129951111508,33.87488555908203,0.069720458984375
217.24,7995392,0.6679666177094248,0.0,40.07799706256549,5011,594,0,182,416.66314547,0.2,106.4257619857788,0.0005,0.7581431865692139,4870,-6.907158283889293,0.005132906,54.33306884765625,-0.004570206738208071,51.890174865722656,0.060369873046875
252.49,8011776,0.6374042772816936,0.0,38.24425663690161,5040,594,0,183,458.82937872,0.2,88.62980564832688,0.0005,0.7741063237190247,4880,-6.918399353325367,0.0062927743,54.876441955566406,-0.0019083526876784163,32.939823150634766,0.06156005859375
249.29,8028160,0.6511572464389531,0.0,39.06943478633719,5068,594,0,184,452.18684668000003,0.2,79.01055052280427,0.0005,0.7804321050643921,4890,-6.930108727514744,0.0077875904,55.473106384277344,-0.0022277273899817375,31.72709083557129,0.07003173828125
252.71,8044544,0.6606863906697361,0.0,39.641183440184165,5096,594,0,185,467.3618685900001,0.2,90.5279337644577,0.0005,0.7482830882072449,4900,-6.929479241371155,0.0050303186,55.608856201171875,-0.0029797502493238426,38.70061492919922,0.05433349609375
258.82,8060928,0.626949803839872,0.0,37.61698823039232,5125,594,0,186,464.2557861400001,0.2,82.2629328250885,0.0005,0.7742646932601929,4910,-6.933765448629856,0.0127633745,55.3876953125,-0.001980324982650927,33.97621154785156,0.075823974609375
261.73,8077312,0.6294152665355569,0.0,37.76491599213341,5154,594,0,187,465.41379298,0.2,84.82599991559982,0.0005,0.7981765270233154,4920,-6.93943850249052,0.0056548626,55.688541412353516,-0.0035581277537858115,36.98479080200195,0.06796875
250.7,8093696,0.6497271461043879,0.0,38.98362876626328,5183,594,0,188,454.11487354999997,0.2,88.91033568382264,0.0005,0.7472123503684998,4930,-6.939745417237281,0.0047624586,55.793251037597656,-0.0024893978792533745,34.62602615356445,0.05989990234375
259.06,8110080,0.6504940746882333,0.0,39.02964448129399,5211,594,0,189,465.72531924,0.2,97.17896358966827,0.0005,0.7311651706695557,4940,-6.943325653672218,0.0053242487,55.76779556274414,-0.0016227116888330785,55.65702819824219,0.08912353515625
260.14,8126464,0.6540120269129522,0.0,39.24072161477714,5240,594,0,190,474.81609250999986,0.2,88.53309313058853,0.0005,0.7701542377471924,4950,-6.941244888305664,0.005202343,55.827186584472656,-0.003770874911424471,37.042724609375,0.059130859375
232.34,8142848,0.6472283799650881,0.0,38.83370279790529,5269,593,0,191,428.23450798000005,0.2,83.34844028949738,0.0005,0.795613706111908,4960,-6.950483997166157,0.005470872,56.121700286865234,-0.002986203521140851,32.096214294433594,0.066534423828125
232.54,8159232,0.6510318562049404,0.0,39.06191137229642,5298,593,0,192,420.55339281999994,0.2,99.94119729995728,0.0005,0.760539174079895,4970,-6.954366110265255,0.008184299,57.15859603881836,-0.002887928441123222,48.51715850830078,0.069354248046875
262.75,8175616,0.6279895233909043,0.0,37.67937140345425,5326,593,0,193,468.36850811000005,0.2,85.50660964250565,0.0005,0.7997644543647766,4980,-6.9580707713961605,0.006957492,57.22919845581055,-0.0029838083741196898,45.068607330322266,0.070391845703125
273.87,8192000,0.6387283495161584,0.0,38.323700970969504,5355,593,0,194,492.15558895999993,0.2,84.2005339384079,0.0005,0.7875376343727112,4990,-6.955042240023613,0.0072733294,57.10980987548828,-0.0034578887454699723,37.436767578125,0.061663818359375
257.37,8208384,0.6478668358807963,0.0,38.87201015284778,5383,593,0,195,459.3112904500001,0.2,78.6575164437294,0.0005,0.8121941089630127,5000,-6.946719937026501,0.00554289,57.153770446777344,-0.0024549052428483264,34.33182907104492,0.077960205078125
229.29,8224768,0.6226694316217745,0.0,37.36016589730647,5411,593,0,196,412.32743122000016,0.2,85.45626922845841,0.0005,0.7961426973342896,5010,-6.9611773326992985,0.005810289,58.633060455322266,-0.004080227776103129,37.09476089477539,0.057562255859375
250.67,8241152,0.6654394937700248,0.0,39.926369626201485,5439,593,0,197,448.42191411000005,0.2,89.73762971162796,0.0005,0.7698087096214294,5020,-6.971367637813091,0.0065825405,58.28086853027344,-0.0029149248577596152,34.20500564575195,0.074951171875
259.97,8257536,0.6146039117126361,0.0,36.87623470275816,5468,593,0,198,472.47464189,0.2,96.70215842723846,0.0005,0.7661434412002563,5030,-6.9751319453120235,0.005892986,59.07161331176758,-0.0027144749561557545,42.02602767944336,0.06741943359375
